County,Town,Date/Time,Distance,Name,Cost,DateTime,Month,Day,Weekday
NL,Griswold,"Sat, 05/13 09:00",Youth Du,"You Can ""DU"" It",$15 (+2.50),2017-05-13T09:00:00Z,5,13,6
NH,Orange,"Sat, 05/13 09:00",5K,Peck Place Panther Pounce 5K,"$25, $10 students",2017-05-13T09:00:00Z,5,13,6
H,New Britain,"Sat, 05/13 09:15",5K,CT Race In the Park,".$30, Youth $15",2017-05-13T09:15:00Z,5,13,6
NL,Ledyard,"Sat, 05/13 09:30",5K,Colonel Classic 5K,".$30, $25 60+, $20 student",2017-05-13T09:30:00Z,5,13,6
NH,Prospect,"Sat, 05/13 10:00",5K,Jan's Run,"$22 through 5/6, $27 raceday. $12 for teens and below, $15 raceday",2017-05-13T10:00:00Z,5,13,6
NH,New Haven,"Sat, 05/13 10:00",5K,Clean Air Run,"$22, $20 if you don't need parking",2017-05-13T10:00:00Z,5,13,6
H,Simsbury,"Sat, 05/13 10:00",5K,My Best Friend's 5K,$25 through 5/12,2017-05-13T10:00:00Z,5,13,6
NL,Colchester,"Sat, 05/13 10:00",5.5M,Salmon River Run,.$30,2017-05-13T10:00:00Z,5,13,6
NL,New London,"Sat, 05/13 11:00",5K,5K River Run for the Fund,"$20, $25 raceday",2017-05-13T11:00:00Z,5,13,6
F,Norwalk,"Sun, 05/14 08:00",10K,Norwalk Mother's Day 10K,"$22, $25 raceday",2017-05-14T08:00:00Z,5,14,7
F,Ridgefield,"Sun, 05/14 08:30",5K,Run Like a Mother,"$40 through 3/31, $45 through 5/11. $50 afterwards",2017-05-14T08:30:00Z,5,14,7
NH,Milford,"Sun, 05/14 09:00",5K,Milford Hospital Live Well 5K,.$27,2017-05-14T09:00:00Z,5,14,7
H,Suffield,"Sun, 05/14 09:00",1M,Susan's Sunrise Road Race,"$20 adult, $15 for 17 and under, $30 for mother/child team",2017-05-14T09:00:00Z,5,14,7
T,Vernon,"Sun, 05/14 09:30",5K,Vernon Mother's Day Dash,"$20 adult, $10 14 and under, $25 adult raceday",2017-05-14T09:30:00Z,5,14,7
H,Suffield,"Sun, 05/14 09:30",3M,Susan's Sunrise Road Race,"$20 adult, $15 for 17 and under, $30 for mother/child team",2017-05-14T09:30:00Z,5,14,7
H,Suffield,"Sun, 05/14 10:40",1M,Susan's Sunrise Road Race,"$20 adult, $15 for 17 and under, $30 for mother/child team",2017-05-14T10:40:00Z,5,14,7
F,Bethel,"Sun, 05/14 11:00",Kids 1M,Healthy Kids Running Series - Week 3,$35 for 5-week series [4th - 8th grade ONLY],2017-05-14T11:00:00Z,5,14,7
F,Stratford,"Wed, 05/17 18:00",5K,Stratford Spring Series,"$10, for $25 for whole series",2017-05-17T18:00:00Z,5,17,3
H,Hartford,"Thu, 05/18 06:00",26.2M,Nutmeg State Marathon,"$80 through 8/31/16, $90 through 9/30/16, $100 through 12/15/16, $110 through 4/15/17, $130 afterwards",2017-05-18T06:00:00Z,5,18,4
H,Hartford,"Thu, 05/18 06:00",13.1M,Nutmeg State Marathon,"$65 through 8/31/16, $75 through 9/30/16, $85 through 12/15/16, $95 through 4/15/17, $115 afterwards",2017-05-18T06:00:00Z,5,18,4
H,Simsbury,"Fri, 05/19 06:00",26.2M,Mainly Marathons - New England Series,"$100 through 12/15/16, $115 through 3/15, $130 through 4/25, $150 afterwards",2017-05-19T06:00:00Z,5,19,5
H,Simsbury,"Fri, 05/19 06:00",13.1M,Mainly Marathons - New England Series,"$85 through 12/15/16, $100 through 3/15, $110 through 4/25, $130 afterwards",2017-05-19T06:00:00Z,5,19,5
H,Simsbury,"Fri, 05/19 06:00",10K,Mainly Marathons - New England Series,"$40 through 4/25, $50 afterwards",2017-05-19T06:00:00Z,5,19,5
H,Simsbury,"Fri, 05/19 06:00",5K,Mainly Marathons - New England Series,"$30 through 4/25, $40 afterwards",2017-05-19T06:00:00Z,5,19,5
NH,Meriden,"Sat, 05/20 00:05",1M,Running Over Cancer,.$10,2017-05-20T00:05:00Z,5,20,6
NH,Hamden,"Sat, 05/20 08:00",5K,Hamden Hills,"$25 through 4/20, $30 through 5/17, $35 raceday",2017-05-20T08:00:00Z,5,20,6
NH,Hamden,"Sat, 05/20 08:00",13.1M,Hamden Hills,"$60 through 4/20, $65 through 5/17, $70 raceday",2017-05-20T08:00:00Z,5,20,6
F,Greenwich,"Sat, 05/20 08:00",5K,Buddy Up 5K,"$40 adults, $30 youth",2017-05-20T08:00:00Z,5,20,6
NH,Meriden,"Sat, 05/20 08:15",1M,Running Over Cancer,.$5,2017-05-20T08:15:00Z,5,20,6
L,Roxbury,"Sat, 05/20 08:30",4.2M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-05-20T08:30:00Z,5,20,6
NH,Meriden,"Sat, 05/20 08:45",1M,Running Over Cancer,.$10,2017-05-20T08:45:00Z,5,20,6
F,Darien,"Sat, 05/20 09:00",5K,The Annual Fred Weisberg Memorial Law Day 5k Race,"$20, $25 raceday POSTPONED",2017-05-20T09:00:00Z,5,20,6
H,Farmington,"Sat, 05/20 09:00",5K,Reid's Run,"$25, $30 raceday",2017-05-20T09:00:00Z,5,20,6
M,Cromwell,"Sat, 05/20 09:00",5K,Teachers vs. Students 5K,"$20 through 5/13, $30 raceday",2017-05-20T09:00:00Z,5,20,6
F,Norwalk,"Sat, 05/20 09:00",5K,Miles For Myles,"$35, $30 raceday; Kids 15 & under - $10 off",2017-05-20T09:00:00Z,5,20,6
NL,Waterford,"Sat, 05/20 09:00",5K,Quaker Hill Challenge,"$20 through 5/7, $25 after",2017-05-20T09:00:00Z,5,20,6
NH,Southbury,"Sat, 05/20 09:00",50K,T2T - Kettletown State Park Challenge,"$65 through 3/31, $70 afterwards",2017-05-20T09:00:00Z,5,20,6
NH,Southbury,"Sat, 05/20 09:00",30K,T2T - Kettletown State Park Challenge,"$60 through 3/31, $65 afterwards",2017-05-20T09:00:00Z,5,20,6
NH,Southbury,"Sat, 05/20 09:00",20K,T2T - Kettletown State Park Challenge,"$50 through 3/31, $55 afterwards",2017-05-20T09:00:00Z,5,20,6
